episode,step,original_gravity,current_gravity,action,reward,domain_shift,cumulative_reward,epsilon,loss,predicted_suitability
1,72,-10.0,-9.42229175567627,[ 0.40375307 -0.5192888   0.14843817 -0.3020248 ],-0.24022619426250458,0.5777082443237305,-6.8300197552889585,0,78.2126235961914,0.9955350160598755
1,73,-10.0,-10.299786567687988,[-0.8860712  -0.54237264  0.3282051  -0.00549981],-0.20403678715229034,0.2997865676879883,-7.034056542441249,0,78.1585693359375,0.9957419037818909
1,74,-10.0,-9.911852836608887,[ 0.03803197 -0.6505597   0.1414317   0.99350685],-0.22565431892871857,0.08814716339111328,-7.2597108613699675,0,78.10794830322266,0.9917111396789551
1,75,-10.0,-10.378927230834961,[0.6336702  0.18874525 0.95197815 0.80312514],-0.363229364156723,0.37892723083496094,-7.6229402255266905,0,78.0614013671875,0.9951996803283691
1,76,-10.0,-9.561097145080566,[ 0.19121587 -0.93514735 -0.8128458  -0.86925656],-0.32449668645858765,0.4389028549194336,-7.947436911985278,0,78.01807403564453,0.9979224801063538
1,77,-10.0,-10.455246925354004,[-0.0965337  -0.24913034  0.95070004 -0.6640334 ],-0.1975807100534439,0.4552469253540039,-8.145017622038722,0,77.97698974609375,0.9978287816047668
1,78,-10.0,-9.675254821777344,[0.9455752  0.5349497  0.6484757  0.26523164],-0.30497366189956665,0.32474517822265625,-8.449991283938289,0,77.93757629394531,0.9940694570541382
1,79,-10.0,-9.24329662322998,[ 0.33746555 -0.04623533 -0.9737273  -0.29398784],-0.20584915578365326,0.7567033767700195,-8.655840439721942,0,77.90025329589844,0.9916810393333435
1,80,-10.0,-9.85400104522705,[-0.0158564   0.46018243 -0.06274331 -0.08519017],-0.16604872047901154,0.14599895477294922,-8.821889160200953,0,77.86488342285156,0.9938388466835022
1,81,-10.0,-9.28912353515625,[-0.7246745  -0.97822255  0.5165565  -0.36009434],-100,0.71087646484375,-108.82188916020095,0,155.885009765625,0.9880530834197998
2,0,-10.0,-10.443839073181152,[ 0.9687669  -0.55953157 -0.32258394  0.04779227],-0.18767432868480682,0.44383907318115234,-0.18767432868480682,0,155.83213806152344,0.9986215829849243
2,1,-10.0,-9.952835083007812,[ 0.5097829  -0.07228443 -0.7503549  -0.37499723],-0.05877672880887985,0.0471649169921875,-0.24645105749368668,0,155.77194213867188,0.9993860721588135
2,2,-10.0,-9.221912384033203,[ 0.00903834  0.347698    0.5402999  -0.73932844],-0.10985536873340607,0.7780876159667969,-0.35630642622709274,0,155.70709228515625,0.9978029131889343
2,3,-10.0,-10.17052173614502,[-0.95416975  0.03816465  0.6199774  -0.9747925 ],-0.09529908001422882,0.17052173614501953,-0.45160550624132156,0,155.64088439941406,0.9935168027877808
2,4,-10.0,-9.790873527526855,[ 0.34493968  0.37361646 -0.10150649  0.8295774 ],-0.09970083087682724,0.20912647247314453,-0.5513063371181488,0,155.5721435546875,0.9902582168579102
2,5,-10.0,-10.263014793395996,[ 0.28872216 -0.9895203  -0.03114311  0.7186356 ],-0.1344216912984848,0.2630147933959961,-0.6857280284166336,0,155.50320434570312,0.997548520565033
